City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,San Patricio,US,62.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
285,Casale Monferrato,IT,48.34,overcast clouds,45.1334,8.4571,Hotel Candiani
289,Cururupu,BR,74.32,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
292,Nchelenge,ZM,72.68,overcast clouds,-9.3451,28.734,KD Travellers Home
293,Sangin,AF,61.86,clear sky,32.0728,64.8359,
298,Carlsbad,US,72.09,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
299,Bantou,CN,60.19,overcast clouds,26.2151,117.4893,
300,Khani,GE,44.17,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
302,San Anselmo,US,63.46,broken clouds,37.9747,-122.5616,Four Points by Sheraton San Rafael Marin County
303,Goure,NE,73.02,clear sky,13.9835,10.2704,
305,Luganville,VU,79.45,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
306,Seoul,KR,47.59,overcast clouds,37.5683,126.9778,LOTTE Hotel Seoul
308,Fuyang,CN,41.94,light rain,32.9,115.8167,Fuyang Wanda Realm Hotel
311,Esperance,AU,69.19,broken clouds,-33.8667,121.9,Hospitality Esperance
312,Ixtapa,MX,64.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
316,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
317,Tura,IN,71.53,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
318,Lazaro Cardenas,MX,72.0,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
320,Aripuana,BR,71.92,overcast clouds,-9.1667,-60.6333,
321,Safford,US,47.32,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
323,Namikupa,TZ,79.59,light rain,-10.8333,39.6,
326,Bubaque,GW,77.2,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
328,Juarez,MX,53.83,clear sky,31.7333,-106.4833,Hotel Santa Fe
331,Necochea,AR,55.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
333,Skerries,IE,52.5,overcast clouds,53.5828,-6.1083,The Redbank Guesthouse
336,Salinas,US,61.57,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
338,Sao Marcos,BR,63.72,clear sky,-28.9711,-51.0681,Hotel São Marcos
339,Te Anau,NZ,47.95,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
340,Pacifica,US,63.45,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
344,Dulce Grande,MX,43.14,clear sky,23.0,-102.1667,
348,Gigmoto,PH,75.25,moderate rain,13.7796,124.39,Cj's Travellers Inn
350,Tezu,IN,69.4,broken clouds,27.9167,96.1667,Circuit House
351,Nago,JP,71.67,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
352,Fredericksburg,US,55.0,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
354,Buala,SB,76.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
355,Bahia De Caraquez,EC,75.38,light rain,-0.6,-80.4167,Saiananda Eco-Hotel
356,Boddam,GB,48.38,overcast clouds,57.4667,-1.7833,Palace Hotel
357,Sao Felix Do Xingu,BR,71.1,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
358,Parana,AR,57.56,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
359,Brigantine,US,54.27,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
361,Santa Fe,AR,59.02,overcast clouds,-31.6333,-60.7,Conquistador Hotel
362,Mbanza-Ngungu,CD,73.26,overcast clouds,-5.25,14.8667,Hotel Full Business
363,Rafaela,AR,58.05,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
364,Hualmay,PE,69.73,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
365,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
367,Puerto Madero,MX,74.86,clear sky,14.7208,-92.4215,Hospedaje madero
368,Joshimath,IN,57.16,clear sky,30.5667,79.5667,Shivalik Camps & Resort
369,Aguimes,ES,66.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
370,Faya,SA,66.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
372,Cabo San Lucas,MX,65.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
375,Caibarien,CU,70.92,broken clouds,22.5206,-79.4669,La Nena
377,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
379,San Quintin,MX,60.53,clear sky,30.4833,-115.95,Don Eddie's Landing
381,San Miguel,SV,72.28,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
383,Auki,SB,77.02,moderate rain,-8.7676,160.7034,Auki Motel
384,Kidal,ML,70.9,clear sky,18.4411,1.4078,
386,Broome,US,46.8,overcast clouds,42.2506,-75.833,Chenango Valley State Park
388,Puerto El Triunfo,SV,75.36,clear sky,13.2833,-88.55,Hotel Jardin
389,Keti Bandar,PK,76.84,clear sky,24.1447,67.4497,Haji laloo memon house
392,Chato,TZ,79.36,light rain,-2.6378,31.7669,Morning Star Inn
393,Adre,TD,77.2,clear sky,13.4667,22.2,
394,Chadiza,ZM,67.28,overcast clouds,-14.0678,32.4392,Sankhani Guest House
396,Teahupoo,PF,69.76,overcast clouds,-17.8333,-149.2667,Vanira Lodge
399,Turbat,PK,76.73,clear sky,26.0023,63.044,Mubashar Quarters
400,Santa Maria,BR,71.22,overcast clouds,-29.6842,-53.8069,Hotel Morotin
401,Maneadero,MX,64.58,clear sky,31.7167,-116.5667,Casa De Thompson
402,Masallatah,LY,56.93,few clouds,32.6167,14.0,Mustafa Taher Sowaidan
404,Lynn Haven,US,51.91,broken clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
405,Lucea,JM,71.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
409,Qandala,SO,79.75,few clouds,11.472,49.8728,
410,Nola,IT,58.93,broken clouds,40.922,14.5329,Villa Minieri Eventi
414,Nanchang,CN,44.94,overcast clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
415,San Cristobal,VE,64.89,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
416,Kotdwara,IN,71.55,clear sky,29.75,78.5333,hotel gaurav plaza
418,Niceville,US,53.91,clear sky,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
420,Jalu,LY,58.57,clear sky,29.0331,21.5482,صاحبة الفخامة
421,Guayabetal,CO,70.92,overcast clouds,4.2147,-73.8172,Hotel Finca el Recreo
424,Christchurch,NZ,55.9,light rain,-43.5333,172.6333,The George
427,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
429,Sal Rei,CV,73.96,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
431,Kalmunai,LK,78.35,overcast clouds,7.4167,81.8167,VS Villa
432,Eugene,US,43.7,mist,44.0521,-123.0867,Valley River Inn
434,Buzmeyin,TM,44.33,overcast clouds,38.0507,58.2056,
436,Kirakira,SB,79.2,overcast clouds,-10.4544,161.9205,SanBiz Lodge
438,Flinders,AU,67.28,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
439,Asfi,MA,56.66,broken clouds,32.2994,-9.2372,Hôtel Abda
440,Muroto,JP,53.64,few clouds,33.2833,134.15,Oota Ryokan
441,Saldanha,ZA,70.95,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
443,Hagere Hiywet,ET,76.95,few clouds,8.9833,37.85,Hot Springs Resort
444,Buraydah,SA,59.45,clear sky,26.326,43.975,فندق راحة السلام
446,Pemba,MZ,79.79,light rain,-12.974,40.5178,Guesthouse Samotina
447,Carballo,ES,48.9,overcast clouds,43.213,-8.691,Pazo do Souto
450,Gainesville,US,53.74,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
451,Sinnamary,GF,76.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
453,Mpika,ZM,66.18,light rain,-11.8343,31.4529,Melodies Lodge
455,Nouadhibou,MR,66.18,overcast clouds,20.931,-17.0347,El Medina
457,Korem,ET,63.37,few clouds,12.5058,39.5228,Lakomeliza Hotel
458,Alta Floresta,BR,70.12,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
459,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
460,Margate,GB,43.92,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
462,Lompoc,US,63.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
465,Niquelandia,BR,68.77,overcast clouds,-14.4739,-48.4597,Hotel Suinã
466,Debre Tabor,ET,68.81,clear sky,11.85,38.0167,Tigesh
469,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Airbnb rooms
470,Arlit,NE,71.49,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
472,Felanitx,ES,54.14,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
473,Pirot,RS,43.21,overcast clouds,43.1531,22.5861,Sin-Kom Hotel Garni
474,Rio Gallegos,AR,62.65,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
477,Siparia,TT,76.86,few clouds,10.1333,-61.5,Brook Gardens
479,Vallenar,CL,63.84,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
480,Krapina,HR,42.31,scattered clouds,46.1608,15.8789,Hostel Poslon
481,Isangel,VU,79.79,broken clouds,-19.55,169.2667,Tanna Lodge
482,Ziway,ET,77.95,overcast clouds,7.9333,38.7167,Haile Resort Ziway Batu
483,Naze,JP,59.92,overcast clouds,28.3667,129.4833,Shishime Hotel
486,Wanaka,NZ,57.11,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
487,Newport,GB,46.26,overcast clouds,51.5877,-2.9984,ibis budget Newport
488,Saint George,US,55.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
489,Avera,US,50.72,broken clouds,33.194,-82.5271,
491,Rock Sound,BS,76.84,broken clouds,24.9,-76.2,Pink Corral Bay Property
492,Aguadilla,PR,73.65,clear sky,18.4275,-67.1541,WSSM Surf House
495,Taman,RU,48.52,overcast clouds,45.2117,36.7161,Staryy Gorod G. Taman'
497,Velingara,SN,74.86,clear sky,13.15,-14.1167,Hotel Najla
498,Moengo,SR,72.23,overcast clouds,5.6167,-54.4,Masanga
499,Fevik,NO,40.77,overcast clouds,58.3794,8.6766,Strand Hotel Fevik - by Classic Norway Hotels
500,Acapulco,MX,75.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
503,Caravelas,BR,73.04,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
504,Pachino,IT,57.24,overcast clouds,36.7186,15.0907,Pietra Bianca B&B
505,Chimbarongo,CL,54.48,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
508,Carutapera,BR,75.87,overcast clouds,-1.195,-46.02,Lidera
510,Rudbar,AF,68.41,clear sky,30.15,62.6,
511,Kaili,ID,71.42,overcast clouds,-3.4626,120.2147,
513,Lubango,AO,75.24,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
515,San Lawrenz,MT,56.86,overcast clouds,36.0553,14.204,San Andrea Hotel
524,Burnie,AU,62.83,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
525,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
531,Palu,ID,75.81,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
532,Asyut,EG,62.51,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
533,The Valley,AI,75.81,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
535,Ahipara,NZ,76.64,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
536,Goundam,ML,67.62,clear sky,16.4145,-3.6708,
538,Rawson,AR,59.88,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
540,San Carlos De Bariloche,AR,44.35,few clouds,-41.1456,-71.3082,Hotel Patagonia
543,North Bend,US,52.16,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
544,Oak Ridge,US,54.57,clear sky,36.0104,-84.2696,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
546,Jeremie,HT,73.98,clear sky,18.65,-74.1167,Auberge’Inn
547,Sao Filipe,CV,77.99,broken clouds,14.8961,-24.4956,Hotel Xaguate
549,Jiangyou,CN,49.89,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
551,Sakaiminato,JP,46.38,few clouds,35.55,133.2333,Matsuya
552,Salta,AR,57.79,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
553,Coos Bay,US,52.23,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
556,Villanueva,HN,68.99,scattered clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
560,Tuy Hoa,VN,77.43,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
562,Larvik,NO,41.04,broken clouds,59.0533,10.0352,Farris Bad
563,Almora,IN,54.36,clear sky,29.6167,79.6667,New Dolma
566,Metlaltoyuca,MX,57.4,broken clouds,20.7333,-97.85,"Hotel ""Doña Yuya"""
567,Albertville,US,50.67,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
569,Ascension,US,48.2,clear sky,30.2169,-90.9001,Highland Inn
571,Bilma,NE,68.38,clear sky,18.6853,12.9164,Expeditions Ténére voyages
572,Morros,BR,69.73,few clouds,-9.4467,-46.3003,
573,Panguna,PG,69.46,light rain,-6.3164,155.4848,
574,Coruripe,BR,76.71,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
575,Zhongshu,CN,65.41,clear sky,24.5167,103.7667,Xintianlong Hotel
576,Chivilcoy,AR,52.02,scattered clouds,-34.8957,-60.0167,Chivilrent
578,Chimbote,PE,69.08,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
579,Manaia,NZ,76.3,overcast clouds,-39.55,174.1333,Freedom Campground
581,Collierville,US,50.86,light rain,35.042,-89.6645,Hampton Inn Memphis/Collierville
584,Llanes,ES,49.86,scattered clouds,43.4198,-4.7549,Hotel La Paz
585,Ketchikan,US,40.98,light rain,55.3422,-131.6461,Snow's Cove Lodge
588,Cajamarca,PE,50.68,overcast clouds,-7.1638,-78.5003,Hotel Qhapac Ñan
589,Del Rio,US,57.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
590,Tiznit,MA,57.79,scattered clouds,29.5833,-9.5,
591,Yuli,NG,79.83,overcast clouds,9.6989,10.2744,
592,Ullapool,GB,49.35,heavy intensity rain,57.8987,-5.1604,Argyll Hotel
593,Nalut,LY,54.43,clear sky,30.3333,10.85,
