City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Naze,JP,2022-02-02 23:34:03,28.3667,129.4833,54.52,87,100,24.16
68,Saint-Philippe,RE,2022-02-02 23:34:04,-21.3585,55.7679,80.19,96,100,34.34
69,Domoni,KM,2022-02-02 23:34:04,-12.2569,44.5319,79.07,84,100,4.88
70,Albany,US,2022-02-02 23:30:01,42.6001,-73.9662,41.74,78,88,4.43
71,Provideniya,RU,2022-02-02 23:34:05,64.3833,-173.3,10.51,72,75,40.26
72,Sibu,MY,2022-02-02 23:34:06,2.3,111.8167,75.51,100,20,3.0
73,Mar Del Plata,AR,2022-02-02 23:34:06,-38.0023,-57.5575,77.09,61,75,4.61
74,Nantucket,US,2022-02-02 23:33:10,41.2835,-70.0995,45.14,94,99,13.38
75,Clermont,FR,2022-02-02 23:33:13,49.5,2.4167,47.91,94,100,5.93
76,Mindelo,CV,2022-02-02 23:34:07,16.8901,-24.9804,71.15,73,20,24.16
77,Iqaluit,CA,2022-02-02 23:34:07,63.7506,-68.5145,8.33,78,75,8.05
78,San Quintin,MX,2022-02-02 23:29:26,30.4833,-115.95,61.27,57,0,11.27
79,Barrow,US,2022-02-02 23:34:08,71.2906,-156.7887,-20.18,63,75,4.61
80,Muros,ES,2022-02-02 23:34:08,42.7762,-9.0603,51.98,86,100,6.31
81,Arraial Do Cabo,BR,2022-02-02 23:34:09,-22.9661,-42.0278,75.16,94,75,5.75
82,Cullinan,ZA,2022-02-02 23:34:09,-25.6709,28.5236,71.29,58,1,2.93
83,Tasiilaq,GL,2022-02-02 23:34:10,65.6145,-37.6368,14.16,84,100,1.05
84,Yellowknife,CA,2022-02-02 23:34:00,62.456,-114.3525,-22.45,76,20,3.44
85,Tuatapere,NZ,2022-02-02 23:34:10,-46.1333,167.6833,58.82,78,100,7.49
86,Bluff,NZ,2022-02-02 23:34:11,-46.6,168.3333,58.8,65,100,17.85
87,Nizwa,OM,2022-02-02 23:34:11,22.9333,57.5333,63.99,57,1,5.21
88,Mukhen,RU,2022-02-02 23:34:11,48.1,136.1,-1.39,94,100,4.7
89,Bengkulu,ID,2022-02-02 23:34:12,-3.8004,102.2655,76.23,87,83,5.32
90,Esperance,AU,2022-02-02 23:34:12,-33.8667,121.9,66.04,59,6,17.07
91,Akita,JP,2022-02-02 23:29:21,39.7167,140.1167,32.94,59,75,10.36
92,Mataura,NZ,2022-02-02 23:34:13,-46.1927,168.8643,58.48,83,100,5.17
93,Hermanus,ZA,2022-02-02 23:34:13,-34.4187,19.2345,65.89,87,4,11.97
94,Sinnamary,GF,2022-02-02 23:34:24,5.3833,-52.95,78.28,83,73,11.48
95,Pisco,PE,2022-02-02 23:29:31,-13.7,-76.2167,75.25,60,0,18.41
96,Pevek,RU,2022-02-02 23:34:24,69.7008,170.3133,-6.95,74,22,4.97
97,Atuona,PF,2022-02-02 23:34:25,-9.8,-139.0333,78.4,75,95,15.55
98,Urucuca,BR,2022-02-02 23:34:25,-14.5931,-39.2844,81.41,94,16,0.63
99,Adrar,MR,2022-02-02 23:34:26,20.5022,-10.0711,67.64,21,56,10.4
100,Aras,ES,2022-02-02 23:34:26,42.5617,-2.356,38.05,93,0,10.36
101,Petropavlovsk-Kamchatskiy,RU,2022-02-02 23:34:26,53.0452,158.6483,27.19,74,75,2.24
102,Mikhaylovka,RU,2022-02-02 23:34:27,50.06,43.2379,36.79,100,100,14.67
103,Haines Junction,CA,2022-02-02 23:34:27,60.7522,-137.5108,3.15,55,100,2.3
104,Savannah Bight,HN,2022-02-02 23:34:28,16.45,-85.85,84.25,82,0,27.58
105,Tura,IN,2022-02-02 23:34:28,25.5198,90.2201,58.98,52,83,1.03
106,Tocopilla,CL,2022-02-02 23:34:29,-22.092,-70.1979,69.96,74,25,11.83
107,Kavieng,PG,2022-02-02 23:34:29,-2.5744,150.7967,79.27,84,100,15.05
108,Saldanha,ZA,2022-02-02 23:34:30,-33.0117,17.9442,66.25,89,52,7.65
109,Mareeba,AU,2022-02-02 23:34:30,-17.0,145.4333,83.48,89,100,7.85
110,Qandala,SO,2022-02-02 23:34:30,11.472,49.8728,72.0,70,2,4.47
111,Uelzen,DE,2022-02-02 23:34:31,52.9667,10.5667,37.02,94,80,7.47
112,Narsaq,GL,2022-02-02 23:34:31,60.9167,-46.05,3.42,63,70,9.08
113,Kapaa,US,2022-02-02 23:34:32,22.0752,-159.319,80.58,66,0,3.0
114,Benito Juarez,MX,2022-02-02 23:34:32,19.385,-99.165,71.42,33,20,17.0
115,Bredasdorp,ZA,2022-02-02 23:34:32,-34.5322,20.0403,65.52,77,34,3.44
116,Kanigiri,IN,2022-02-02 23:34:33,15.4,79.5167,66.29,81,8,4.54
117,Flin Flon,CA,2022-02-02 23:31:25,54.7682,-101.865,-11.36,53,0,9.22
