City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Alfred,ZA,-33.5906,26.891,80.17,72,64,12.84,broken clouds
80,Wagar,SD,16.1525,36.2032,81.07,44,0,9.57,clear sky
81,Saskylakh,RU,71.9167,114.0833,2.12,79,81,14.5,broken clouds
82,Kieta,PG,-6.2167,155.6333,78.55,84,100,3.74,moderate rain
83,Katsuura,JP,35.1333,140.3,46.51,58,72,5.14,broken clouds
84,Namatanai,PG,-3.6667,152.4333,79.21,81,98,3.76,light rain
85,Ponta Do Sol,PT,32.6667,-17.1,64.13,69,6,5.95,clear sky
86,Longyearbyen,SJ,78.2186,15.6401,19.24,86,75,8.05,light snow
87,Tuktoyaktuk,CA,69.4541,-133.0374,-23.26,100,79,2.37,broken clouds
88,Tateyama,JP,34.9833,139.8667,46.42,55,63,5.39,broken clouds
89,Chokurdakh,RU,70.6333,147.9167,-2.85,96,100,13.67,light snow
90,Meulaboh,ID,4.1363,96.1285,86.27,60,99,5.03,overcast clouds
91,Ribeira Grande,PT,38.5167,-28.7,61.2,77,20,14.97,few clouds
92,Taveta,KE,-3.3963,37.6736,85.24,45,97,5.5,overcast clouds
93,Korla,CN,41.7597,86.1469,35.74,33,40,1.01,scattered clouds
94,Taltal,CL,-25.4,-70.4833,65.88,84,19,1.63,few clouds
95,Paka,MY,4.6374,103.4368,82.4,69,89,9.69,overcast clouds
96,Samfya,ZM,-11.3649,29.5565,72.05,74,97,5.84,overcast clouds
97,Launceston,AU,-41.45,147.1667,65.84,58,55,17.27,broken clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,62.1,69,46,25.99,scattered clouds
99,Cairns,AU,-16.9167,145.7667,82.35,61,14,10.36,few clouds
100,Pauini,BR,-7.7136,-66.9764,72.1,98,100,2.06,overcast clouds
101,Quesnel,CA,52.9999,-122.5029,23.97,94,78,4.07,broken clouds
102,Sept-Iles,CA,50.2001,-66.3821,26.06,95,100,8.99,overcast clouds
103,Cidreira,BR,-30.1811,-50.2056,72.0,86,1,14.45,clear sky
104,Erenhot,CN,43.6475,111.9767,7.63,77,12,4.79,few clouds
105,Nabire,ID,-3.3667,135.4833,78.15,89,76,3.76,light rain
106,Bachatskiy,RU,54.2927,86.1285,10.27,83,6,4.54,clear sky
107,Mount Isa,AU,-20.7333,139.5,92.97,31,75,5.75,light rain
108,Kitgum,UG,3.2783,32.8867,94.69,20,60,2.73,broken clouds
109,Castro,BR,-24.7911,-50.0119,57.38,93,84,6.17,broken clouds
110,Kodiak,US,57.79,-152.4072,36.91,87,75,0.0,broken clouds
111,Juneau,US,58.3019,-134.4197,39.2,96,100,17.27,light rain
112,Pundaguitan,PH,6.3711,126.1689,82.2,77,100,13.56,overcast clouds
113,Dikson,RU,73.5069,80.5464,2.73,79,100,27.89,overcast clouds
114,Rimini,IT,44.0241,12.5186,49.5,72,75,11.99,broken clouds
115,Victoria,HK,22.2855,114.1577,71.96,81,25,5.01,scattered clouds
116,Norman Wells,CA,65.282,-126.8329,-21.42,97,51,5.64,broken clouds
117,Banff,CA,51.1762,-115.5698,24.91,99,82,6.13,broken clouds
118,Sola,VU,-13.8833,167.55,77.9,86,100,14.99,overcast clouds
119,Lago Da Pedra,BR,-4.3333,-45.1667,71.64,99,100,2.93,overcast clouds
120,Ulladulla,AU,-35.35,150.4667,67.1,83,89,9.26,overcast clouds
121,Santa Lucia,ES,27.9117,-15.5407,60.12,42,20,10.36,few clouds
122,Talcahuano,CL,-36.7167,-73.1167,53.28,87,0,8.05,clear sky
123,Severo-Kurilsk,RU,50.6789,156.125,20.98,77,73,5.66,broken clouds
124,Oswego,US,43.4501,-76.1497,43.02,95,100,1.01,overcast clouds
125,Barra Do Garcas,BR,-15.89,-52.2567,68.81,97,82,0.83,broken clouds
126,Bulri,PK,24.8667,68.3333,84.43,15,0,9.78,clear sky
127,Kruisfontein,ZA,-34.0033,24.7314,86.47,33,0,9.48,clear sky
128,Carnarvon,AU,-24.8667,113.6333,89.67,58,23,18.41,few clouds
129,Redlands,US,34.0556,-117.1825,70.97,22,0,3.44,clear sky
130,Dingle,PH,10.9995,122.6711,79.36,83,100,10.83,overcast clouds
